date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:24	25342/25342	---M--	200	added ('OK')	image/png	etag:%229299066cdc1f005b%22	https://i1.wp.com/springvaleprimary.org/wp-content/uploads/2017/12/Springvale-Identity-Design12.png?fit=1024%2C724&ssl=1	C:/My%20Web%20Sites/Website/i1.wp.com/springvaleprimary.org/wp-content/uploads/2017/12/Springvale-Identity-Design123b1a.png	(from https://springvaleprimary.org/)
02:36:24	116455/116455	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:23%20GMT	https://springvaleprimary.org/key-information/	C:/My%20Web%20Sites/Website/springvaleprimary.org/key-information/index.html	(from https://springvaleprimary.org/)
02:36:24	4493/4493	---M-Z	200	added ('OK')	application/javascript	etag:%22118d-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/frontend-builder-global-functions.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/frontend-builder-global-functions8a54.js	(from https://springvaleprimary.org/)
02:36:25	758/758	---M-Z	200	added ('OK')	application/javascript	etag:%222f6-5b13e87a6e454-gzip%22	https://springvaleprimary.org/wp-content/plugins/jetpack/_inc/build/photon/photon.min.js?ver=20191001	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/jetpack/_inc/build/photon/photon.min1c52.js	(from https://springvaleprimary.org/)
02:36:25	123190/123190	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:24%20GMT	https://springvaleprimary.org/about-us/	C:/My%20Web%20Sites/Website/springvaleprimary.org/about-us/index.html	(from https://springvaleprimary.org/)
02:36:25	3897/3897	---M-Z	200	added ('OK')	application/javascript	etag:%22f39-5a743ba8f9f67-gzip%22	https://springvaleprimary.org/wp-content/plugins/embed-any-document/js/pdfobject.min.js?ver=2.6.1	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/embed-any-document/js/pdfobject.minc141.js	(from https://springvaleprimary.org/)
02:36:25	1063/1063	---M-Z	200	added ('OK')	application/javascript	etag:%22427-5a743ba8f9f67-gzip%22	https://springvaleprimary.org/wp-content/plugins/embed-any-document/js/embed-public.min.js?ver=2.6.1	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/embed-any-document/js/embed-public.minc141.js	(from https://springvaleprimary.org/)
02:36:25	123406/123406	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:24%20GMT	https://springvaleprimary.org/school-day/	C:/My%20Web%20Sites/Website/springvaleprimary.org/school-day/index.html	(from https://springvaleprimary.org/)
02:36:26	14105/14105	---M-Z	200	added ('OK')	application/javascript	etag:%223719-5adc968f68f87-gzip%22	https://springvaleprimary.org/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.2.2	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/contact-form-7/includes/js/scriptsbb49.js	(from https://springvaleprimary.org/)
02:36:26	119056/119056	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:24%20GMT	https://springvaleprimary.org/ethos/	C:/My%20Web%20Sites/Website/springvaleprimary.org/ethos/index.html	(from https://springvaleprimary.org/)
